Titles,Keywords,Abstract
"What is Societal Impact of Research 
and How can it be Assessed? A Literature Survey","societal impact, societal quality, societal benefits, societal relevance, impact measurement
","Since the 1990s, the scope of research evaluations becomes broader as the societal products (outputs), societal use (societal references), and societal benefits (changes in society) of research come into scope. Society can reap the benefits of successful research studies only if the results are converted into marketable and consumable products (e.g., medicaments, diagnostic tools, machines, and devices) or services. A series of different names have been introduced which refer to the societal impact 
of research: third stream activities, societal benefits, societal quality, usefulness, public values, knowledge transfer, and societal relevance. What most of these names are concerned with is the assessment of social, cultural, environmental, and economic returns (impact and effects) from results (research output) or products (research outcome) of publicly funded research. This review intends to present existing research on and practices employed in the assessment of societal impact in the form of a literature survey. The objective is for this review to serve as a basis for the development of robust and reliable methods of societal impact measurement."
How Can Payback from Health Services Research Be Assessed?,"political and administrative benefits, cost-effectiveness of research, feasibility, impacts","Throughout the world there is a growing recognition that health care should be research-led. This strengthens the requirement for expenditure on health services research to be justified by demonstrating the benefits it produces. However, payback from health research and development is a complex concept and little used term. Five main categories of payback can be identified: Knowledge; research benefits; political and administrative benefits; health sector benefits; and broader economic benefits.
Various models of research utilization together with previous assessments of payback from research helped in the development of a new conceptual model of how and where payback may occur. The model combines an input-output perspective with an examination of the permeable interfaces between research and its environment. The model characterizes research projects in terms of Inputs, Processes, and Primary Outputs. The last consist of knowledge and research benefits. There are two interfaces between the project and its environment. The first (Project Specification, Selection and Commissioning) is the link with Research Needs Assessment. The second (Dissemination) should lead to Secondary Outputs (which are policy or administrative decisions), and usually Applications (which take the form of behavioural changes), from which Impacts or Final Outcomes result. It is at this final stage that health and wider economic benefits can be measured.
A series of case studies were used to assess the feasibility both of applying the model and the payback categorization. The paper draws various conclusions from the case studies and identifies a range of issues for further work."
Use of Evidence from Systematic Reviews to Inform Commissioning Decisions: A Case Study,"systematic reviews, methodological development and evaluation, political, community treatment","Systematic reviews provide high-level evidence but 
there are barriers to their use by policy makers. This paper reports the preparation and evaluation of an evidence briefing, using systematic reviews and other existing sources of synthesised evidence, to support a possible reorganisation of services for young people with eating disorders in an English primary care trust. There was no evidence of differences in outcomes between community, outpatient and specialist inpatient treatment. The provision of specialist outpatient services appeared most cost-effective. The commissioning group agreed to move towards providing services on an outpatient basis. This work suggests that evidence briefings based on systematic reviews warrant further methodological development and evaluation."
Expanding the Use of Experiments on Civic Behavior: Experiments with Local Government as a Research Partner,"civic behavior, field experiments, local government, difficulties of implementation",Expanding the Use of Experiments on Civic Behavior: Experiments with Local Government as a Research Partner
"Evaluation of research 
in context: an approach and two cases","research evaluation, investigation, scientific, societal, knowledge dynamics
","Science is increasingly heterogeneous, posing new questions for research 
evaluation. How can we evaluate the between scientific and societal quality of research, taking into account differences between research fields and between research groups? In this paper we present the findings of two case studies in fields where societal and scholarly output of research are highly intertwined (architecture and law). We analyze the nature of the two fields in terms of research areas and specific aspects of knowledge dynamics. This results in an approach and indicators for contextual research evaluation."
"Understanding societal 
impact through productive interactions: ICT research as a case","application and exploitation of knowledge, societal impact, communication technologies, social sciences and humanities","Universities are increasingly expected to fulfill a third mission
 in addition to those of research and education. Universities must demonstrate engagement with society through the application and exploitation of knowledge. As societal impact of research is uncertain, long term and always dependent on other factors, we argue here that evaluation should focus on the conditions under which societal impact is generated rather than on the impact itself. Here we focus on a specific set of those conditions: the interactions between academic researchers and societal actors. Instead of speculating about potential impacts of research, we argue that current productive interactions of researchers with societal stakeholders improve the probability that future societal impact will occur. This article supports this idea by examining in detail several, mainly retrospective examples. As productive interactions are field specific, we restrict ourselves to ‘professional adhocracy fields’, especially to information and communication technologies (ICT) research. We address the patterns of productive interactions that result in societal impact within this field and we discuss whether differences are observed in contrast to other fields, such as social sciences and humanities (fragmented adhocracies). We end by discussing the implications that these patterns have for societal impact assessment. Shifting the focus to interactions allows assessment of short-term knowledge transfer and other collaborative efforts with stakeholders that contribute to long-term societal impact."
Toward critical spatial thinking in the social sciences and humanities,"social sciences, humanities, methodologies, spatial, technologies,integration of scientific ","The integration of geographically referenced information into the conceptual frameworks and applied uses of the social sciences and humanities has been an ongoing process over the past few centuries. It has gained momentum in recent decades with advances in technologies for computation and visualization and with the arrival of new data sources. This article begins with an overview of this transition, and argues that the spatial integration of 
information resources and the cross-disciplinary sharing of analysis and representation methodologies are important forces for the integration of scientific and artistic expression, and that they draw on core concepts in spatial (and spatio-temporal) thinking. We do not suggest that this is akin to prior concepts of unified knowledge systems, but we do maintain that the boundaries to knowledge transfer are disintegrating and that our abilities in problem solving for purposes of artistic expression and scientific development are enhanced through spatial perspectives. Moreover, approaches to education at all levels must recognize the need to impart proficiency in the critical and efficient application of these fundamental spatial concepts, if students and researchers are to make use of expanding access to a broadening range of spatialized information and data processing technologies."
"What is Special About 
Spatial Data? Alternative Perspectives on Spatial Data Analysis","spatial data analysis, spatial statistics, spatial econometrics ","Outlines general ideas on fundamental issues related to the 
distinctive characteristics of spatial data analysis as opposed to data analysis in general. Focuses on two issues that are often overlooked in technical treatments of the methods of spatial statistics and spatial econometrics. One is therelevance for spatial data analysis of the ongoing debate about methodology in the disciplines of statistics and econometrics. The other is much narrower and pertains to the role of spatial errors in modeling and analysis. Includes an extensive bibliography. Paper prepared for presentation at the Spring 1989 Symposium on Spatial Statistics, Past, Present and Future, Department of Geography, Syracuse University."
Local Indicators of Spatial Association—LISA,"geographic information systems, data analysis, spatial association, magnitude of the global statistic, spatial association","The capabilities for visualization, rapid data retrieval, and manipulation in geographic information systems (GIS) have created the need for new techniques of exploratory data analysis that focus on the “spatial” aspects of the data. The identification of local patterns of spatial association is an important concern in this respect. In this paper, I outline a new general class of local indicators of spatial association (LISA) and show how they allow for the decomposition of global indicators, such as Moran's I, into the contribution of each observation. The LISA statistics serve two purposes. On one hand, they may be interpreted as indicators 
of local pockets of nonstationarity, or hot spots, similar to the Gi and G*i statistics of Getis and Ord (1992). On the other hand, they may be used to assess the influence of individual locations on the magnitude of the global statistic and to identify “outliers,” as in Anselin's Moran scatterplot (1993a). An initial evaluation of the properties of a LISA statistic is carried out for the local Moran, which is applied in a study of the spatial pattern of conflict for African countries and in a number of Monte Carlo simulations."
Toward critical spatial thinking in the social sciences and humanities,"social sciences and humanities, new data sources, spatial integration, knowledge systems, knowledge transfer, spatial concepts, technologies.","The integration of geographically referenced information into the conceptual frameworks and applied uses of the social sciences and humanities has been an ongoing process over the past few centuries. It has gained momentum in recent decades with advances in technologies for computation and visualization and with the arrival of new data sources. This article begins with an overview of this transition, and argues that the spatial integration of information resources and 
the cross-disciplinary sharing of analysis and representation methodologies are important forces for the integration of scientific and artistic expression, and that they draw on core concepts in spatial (and spatio-temporal) thinking. We do not suggest that this is akin to prior concepts of unified knowledge systems, but we do maintain that the boundaries to knowledge transfer are disintegrating and that our abilities in problem solving for purposes of artistic expression and scientific development are enhanced through spatial perspectives. Moreover, approaches to education at all levels must recognize the need to impart proficiency in the critical and efficient application of these fundamental spatial concepts, if students and researchers are to make use of expanding access to a broadening range of spatialized information and data processing technologies."
No Place in History – Geo-ICT and Historical Science,"Geographical information systems, Geography, GIS, Historical science, History","Geographical information systems (GIS) can be powerful
 tools for historical science: for presentation, exploration, analysis and reconstruction, as a portal to historical information and to facilitate research. In fact, very limited use has actually been made of them. Where GIS has been used, it has been outside traditional historical departments, in economics, geography or sociology. In general, history departments remain very reluctant to include modern research methods such as GIS in their curricula. As a consequence, there is no place in history."
Spatial Demography: An Opportunity to Improve Policy Making at Diverse Decision Levels,"spatial demography, spatial statistical models, fertility, mortality, migration","The number of applications of spatial demography 
has been growing mostly since the 1990s. Ranging from simple visualization to sophisticated spatial analytical techniques, these applications bring a new layer of explanation to demographic phenomena. This paper reviews demographic studies that specifically addressed space with spatial statistical models, and that focused on fertility, mortality, migration, and population models. Additionally, it summarizes different spatial datasets and software freely available, as well as the challenges that exist for the development of spatial demography applications. These challenges include confidentiality issues, scale problems, and the lack of training on spatial analysis in population centers. Although the first and second challenges involve modeling and technical solutions, the latter depends only on demographers’ commitment and willingness to promote change. Several topics for future spatially focused research are also outlined. Finally, the paper makes a strong case regarding the significant contribution that spatial demography can make to the monitoring, evaluation, and implementation of population policies."
Understanding and representing ‘place’ in health research: A relational approach,"Place, Space, Neighbourhood effects, Relational theory, Geography","Epidemiology, sociology, and geography have been successful in re-establishing interest in the role of place in shaping health and health inequalities. However, some of the relevant empirical research has relied on rather conventional conceptions of 
space and place and focused on isolating the “independent” contribution of place-level and individual-level factors. This approach may have resulted in an underestimate of the contribution of ‘place’ to disease risk. In this paper we argue the case for extensive (quantitative) as well as intensive (qualitative) empirical, as well as theoretical, research on health variation that incorporates ‘relational’, views of space and place. Specifically, we argue that research in place and health should avoid the false dualism of context and composition by recognising that there is a mutually reinforcing and reciprocal relationship between people and place. We explore in the discussion how these theoretical perspectives are beginning to influence empirical research. We argue that these approaches to understanding how place relates to health are important in order to deliver effective, ‘contextually sensitive’ policy interventions."
Toward critical spatial thinking in the social sciences and humanities,"integration of geographically, social sciences and humanities, technologies, 
spatial integration, scientific development","The integration of geographically referenced information into the conceptual frameworks and applied uses of the social sciences and humanities has been an ongoing process over the past few centuries. It has gained momentum
 in recent decades with advances in technologies for computation and visualization and with the arrival of new data sources. This article begins with an overview of this transition, and argues that the spatial integration of information resources and the cross-disciplinary sharing of analysis and representation methodologies are important forces for the integration of scientific and artistic expression, and that they draw on core concepts in spatial (and spatio-temporal) thinking. We do not suggest that this is akin to prior concepts of unified knowledge systems, but we do maintain that the boundaries to knowledge transfer are disintegrating and that our abilities in problem solving for purposes of artistic expression and scientific development are enhanced through spatial perspectives. Moreover, approaches to education at all levels must recognize the need to impart proficiency in the critical and efficient application of these fundamental spatial concepts, if students and researchers are to make use of expanding access to a broadening range of spatialized information and data processing technologies."
Citizens as sensors: the world of volunteered geography,"geographic, science, geographic observation, geographic observation,
phenomenon","In recent months there has been an explosion of interest in 
the Web to create, assemble, and disseminate geographic information provided voluntarily by individuals. Sites such as Wikimapia and OpenStreetMap are empowering citizens to create a global patchwork of geographic information, while Google Earth and other virtual globes are encouraging volunteers to develop interesting applications using their own data. I review this phenomenon, and examine associated issues: what drives people to do this, how accurate are the results, will they threaten individual privacy, and how can they augment more conventional sources? I compare this new phenomenon to more traditional citizen science and the role of the amateur in geographic observation."
A Framework for the Areal Interpolation of Socioeconomic Data,"Spatial, spatial objects, socioeconomic data, density surfaces, 
geographical information","Spatial data are collected and represented as attributes 
of spatial objects embedded in a plane. Basis change is defined as the transfer of attributes from one set of objects to another. Methods of basis change for socioeconomic data are reviewed and are seen to differ in the assumptions made in each about underlying density surfaces. These methods are extended to more general cases, and an illustration is provided by using Californian data. The implementation of this framework within a geographical information system is discussed."
Toward Spatially Integrated Social Science,"spatial approach, Social Science,  behavioral sciences, integrated space, 
spatial perspective, methods, technologies, information science","This article outlines the motivation for a spatial approach 
as a novel focus for cross-disciplinary interaction and research in the social and behavioral sciences. The authors review the emerging interest in space and place in the recent social science literature and develop a vision for a spatially integrated social science. This vision provides the conceptual basis for a program of six activities designed to promote a spatial perspective: learning resources, workshops, best-practice examples, place-based search, software tools, and a virtual community. The six programs will be informed by advances in the methods, technologies, and principles underlying spatial information science."
"The early history of digital humanities: An analysis of Computers and the Humanities 
(1966–2004) and Literary and Linguistic Computing (1986–2004)","digital humanities, classification systems, digital technology, analysis, history","Most commentators locate the origin of digital humanities (DH) in computational text analysis of the mid-twentieth century, beginning in 1946 with Roberto Busa’s plans for the Index Thomisticus, a massive attempt to encode nearly 11 million words of Thomas Aquinas’ writings on IBM punch cards. This event (and the narrative that follows) is found throughout the literature, leading some to believe that early DH work ‘concentrated, perhaps somewhat narrowly, on text analysis (such as classification systems, mark-up, text encoding, and scholarly editing)’ (Presner, 2010, p. 6). Others seem convinced that DH is still only text analysis or too dominated by it (Meeks, 2013)—and misguided in its approach (Fish, 2012). Meanwhile, Underwood (2017) has recently made a case for disentangling distant reading methods from DH generally, noting that the former predates and does not depend on digital technology.

This article presents an empirical perspective on the early history of DH by tracing publications in two foundational journals (Computers and the Humanities (CHum), established in 1966, and Literary and Linguistic Computing (LLC), established in 1986), with particular emphasis on media types, authors’ disciplines and locations, and teaching and learning. In doing so, we examine the extent to which early DH work focused on text analysis as well as broader trends in the early history of the field."
"Revising the Visualizer-Verbalizer Dimension: Evidence for Two Types of 
Visualizers","visualizer-verbalizer, cognitive, spatial ability, dimension, homogeneous group","Sixty participants were administered spatial ability tests, a verbal ability test, and a visualizer-verbalizer cognitive style questionnaire. Although verbalizers tended to be a homogeneous group with an intermediate level of spatial ability, there were 2 groups of visualizers, 1 with high spatial ability (the spatial type) and another with low spatial ability (the iconic type). To compare the use of mental images by the 2 types of visualizers in solving problems, interviews with 8 high-spatial 
visualizers and 9 low-spatial visualizers were conducted. The students were presented with graphs of motion and were asked to visualize and interpret the motion of an object. Whereas low-spatial visualizers interpreted the graphs as pictures and mostly relied on visual (iconic) imagery, high-spatial visualizers constructed more schematic images and manipulated them spatially. In addition, we compared problem-solving strategies used by verbalizers to those of visualizers. In contrast to visualizers, verbalizers of low and high spatial ability did not have any clearly marked preference to use visual or spatial imagery."
Spatial versus object visualizers: A new characterization of visual cognitive style,"spatial properties, neuropsychological, spatial, object, spatial imagery","The visual system processes object properties (such as shape and color) and spatial properties (such as location and spatial relations) in distinct systems, and neuropsychological evidence reveals that mental imagery respects this distinction. The findings reported in this article demonstrate that verbalizers typically perform at anintermediate level on imagery tasks, whereas visualizers can be divided into two groups. Specifically, scores on spatial and object imagery tasks, along with a visualizer-verbalizer cognitive style questionnaire, identified a group of visualizers who scored poorly on spatial imagery tasks but excelled on object imagery tasks. 
In contrast, a second group of visualizers scored high on spatial imagery tasks but poorly on object imagery tasks. The results also indicate that object visualizers encode and process images holistically, as a single perceptual unit, whereas spatial visualizers generate and process images analytically, part by part. In addition, we found that scientists and engineers excel in spatial imagery and prefer spatial strategies, whereas visual artists excel in object imagery and prefer object-based strategies."
Sharing Teaching Ideas: Why Not Three Dimensions?,"analysis, dimensions, visualizations, spatial skills, rotations","When I reviewed our high school curriculum, I realized that my
 students did not have enough practice with situations that required analysis in three dimensions. Few situations that applied the threedimensional ideas studied in geometry were found in second-year algebra and precalculus, and calculus students faced with rotations that produced solids had very little experience to help them with the visualizations required. As a response, I developed several projects that I integrated into my courses at all three levels. What follows are descriptions of a three-year sequence of projects that help to develop students' spatial skills. The photographs are all examples of student-produced work."
Virtual Geographic Environments (VGEs): A New Generation of Geographic Analysis Tool,"Virtual Geographic Environments (VGEs), Spatial analysis, Interaction, Geographic phenomenon simulation, 
Collaborative geographic experiment","Virtual Geographic Environments (VGEs) 
are proposed as a new generation of geographic analysis tool to contribute to human understanding of the geographic world and assist in solving geographic problems at a deeper level. The development of VGEs is focused on meeting the three scientific requirements of Geographic Information Science (GIScience) — multi-dimensional visualization, dynamic phenomenon simulation, and public participation. To provide a clearer image that improves user understanding of VGEs and to contribute to future scientific development, this article reviews several aspects of VGEs. First, the evolutionary process from maps to previous GISystems and then to VGEs is illustrated, with a particular focus on the reasons VGEs were created. Then, extended from the conceptual framework and the components of a complete VGE, three use cases are identified that together encompass the current state of VGEs at different application levels: 1) a tool for geo-object-based multi-dimensional spatial analysis and multi-channel interaction, 2) a platform for geo-process-based simulation of dynamic geographic phenomena, and 3) a workspace for multi-participant-based collaborative geographic experiments. Based on the above analysis, the differences between VGEs and other similar platforms are discussed to draw their clear boundaries. Finally, a short summary of the limitations of current VGEs is given, and future directions are proposed to facilitate ongoing progress toward forming a comprehensive version of VGEs."
Transition to a bioeconomy: Perspectives from social sciences,"Systematic review, Bioeconomy, Social sciences, Bioresources, Socioeconomic impacts","More than 50 countries and international organisations worldwide are currently working on strategies and policies to promote a transition to a bioeconomy. This economic system centres on a sustainable use of bio- and renewable resources to guarantee sustainability. Although many contributions have been made to the field of bioeconomy, most focus on a science perspective (e.g. chemistry, engineering, technology, biomedicine or biology). Despite the significant importance of social and economic issues for a bioeconomy transition, studies from a social science perspective are largely lacking. This paper presents a systematic review of academic contributions to the field of bioeconomy from a social science standpoint. The results reveal the need for an in-depth analysis of the challenges and opportunities that the bioeconomy faces in social and economic terms."
Public perceptions of using forests to fuel the European bioeconomy: Findings from eight university cities,"Lay perception, Legitimacy, Network analysis, Public discourse, Risk perception, 
Socio-technical transition","The political project on bioeconomy strives to address multiple societal aspirations, namely combine economic growth with environmental sustainability in some socially acceptable manner. The contradictions between the goals and the concrete plans to increase production, processing, and consumption of forest biomass in Europe have however raised sustainability concerns within and beyond its borders. While political actors articulate such contradictions differently and compete 
for traction for their viewpoints in the public discourse, little is known about how citizens of urban areas perceive this discourse. Conceptualising perception as a multidimensional construct, data from eight European university cities (Bordeaux, Bratislava, Freiburg, Helsinki, Padua, St. Petersburg, Uppsala, Vienna) are statistically analysed to explore its dimensions, the communities of like-minded citizens forming across those dimensions, and the traits associating with membership in each such community. Five communities across six dimensions from biocentrism through distributional aspects to adherence to political goals are identified: adherent-environmentalist, adherent-governmentalist, critical-reformist, critical-agriculturalist, and indifferent. City of residence and perceived familiarity with bioeconomy clearly interact with perception. There is however considerable variation in communities within and across the eight cities, suggesting deeper social tension beyond the public discourse. Much of the within-community variation remains unexplained, though, calling for more work locally. Implications for forest policy are derived."
Socioeconomic impact of 2005–2008 drought in Andalusian agriculture,"Economic surplus, Hydrological drought, Impact assessment, Irrigation,
Rainfed","Meteorological drought is defined as the event 
that arises when precipitation is lower than average and initially affects rainfed crops; this is transformed into hydrological drought when persistent drought affects water storage. We have studied the economic impact of multiyear droughts by applying the economic surplus to the last severe drought (2005–2008) in Andalusia. The method is applied to both rainfed and irrigated agriculture. The results show negative effects on regional social welfare, with an estimated global loss of EUR 1512 million, although this negative impact is unequally distributed. There is a quantity effect (lower yields) and higher prices due to shorter supply. Overall, rainfed farms experience a negative impact on their income since higher prices only partially compensate for yield reduction, although, paradoxically, certain irrigation farms increase their income when higher prices overcorrect lower yields. Consumers are always negatively affected by drought. This result may aid in the design of agricultural policy models and drought-recovery policies."
Reuse of sea water reverse osmosis brine to produce Dunaliella salina based β-carotene as a valuable bioproduct: A circular bioeconomy perspective,"β-Carotene, Bioproduct, Biorefinery, Bioeconomy, Reuse, Microalgae","Due to population growth and global warming, the use of the sea water reverse osmosis process to obtain freshwater is increasing rapidly. A sustainable method with low environmental impact is limited for the management of brine with a high salt content, which is released as a result of the process. Some microalgae species can grow in salty environments and produce β-carotene. This study 
aims to evaluate the commercial potential of β-carotene production from microalgae grown in sea water reverse osmosis brine from a bioeconomy perspective. Synthetic media are often used for the production of β-carotene from algae, the use of sea water reverse osmosis brine is not common and the commercial potential of this application has not been evaluated before. In terms of the development of the β-carotene market, the strengths and weaknesses of the process, opportunities, and threats are thoroughly examined in this report. Also, with the use of sea water reverse osmosis, a daily 750 tons of algal β-carotene can be produced. The biotechnological production of microalgal β-carotene and the reuse of salt water within the scope of circular bioeconomy are seen as a sustainable solution due to the fact that the strengths of the process are dominant, and the market value of natural β-carotene is increasing day by day."
Sustainability implications of transformation pathways for the bioeconomy,"Bioeconomy, Bio-based transformation, Transformation pathway, 
Sustainability, Governance","Countries around the world are devising and implementing bioeconomy strategies to initiate transformation towards sustainable futures. Modern concepts of bioeconomy extend beyond bio-based energy provision and include: (1) the substitution of fossil resource-based inputs to various productive sectors, such as the chemical industry and the construction sector, (2) more efficient, including new and cascading uses of biomass, and (3) a low bulk, but high-value biologisation of processes in agro-food, pharmaceutical, and recycling industries. Outcomes of past attempts at engineering transformation, however, proved to be context-dependent and contingent on appropriate governance measures. In this paper we theoretically motivate and apply a system-level theory of change framework that identifies central mechanisms and four distinct pathways, through which bio-based transformation can generate positive or negative outcomes in multiple domains of the Sustainable Development Goals. Based on emblematic examples from three bio-based sectors, we apply the framework illustrating 
how case-specific mixes of transformation pathways emerge and translate into outcomes. We find that the observed mixes of transformation pathways evoke distinct mechanisms that link bioeconomic change to sustainability gains and losses. Based on this insight we derive four key lessons that can help to inform the design of strategies to enable and regulate sustainable bioeconomies."
Macroalgal biorefinery concepts for the circular bioeconomy: A review on biotechnological developments and future perspectives,"Seaweed, Biomass, Bioproducts, Bioprocessing, Biotechnology, Biorefinery","The imminent need for transition to a circular bioeconomy, 
based on the valorisation of renewable biomass feedstocks, will ameliorate global challenges induced by climate change, environmental pollution and population growth. A reduced reliance on depleting fossil fuel resources and ensured production of eco-friendly and cost-effective bioproducts and biofuels, requires the development of sustainable biorefinery processes, with many utilising macroalgae as feedstock, showing promising and viable prospects. Nonetheless, macroalgal biorefinery research is still in its infancy compared to lignocellulosic biorefineries that utilise terrestrial plants. This article presents a review on the latest scientific literature associated with the development and status of macroalgal biorefineries, and how bioproducts generated from these bioprocesses have contributed towards the bioeconomy. The fundamental need to understand how the unique biochemical composition of macroalgae fit within a biorefinery concept are explained, alongside discussion of the novel biotechnologies that have been applied. In order to comprehend the increasing significance of this exciting field, the review will also provide insight, for the first time, on the current global funding and intellectual property landscape related to macroalgae and their implementation across the entire biorefinery concept. Imperative areas for further research and development, to bridge the gap between fundamental bioscience in the laboratory and the successful application of compatible biotechnologies at a commercial scale, to boost the macroalgae industry are also covered."
